bill_id,session,full_number,synopsis,reason
2016-A2930,2016,A2930,Revises and renames NJSTARS; repeals NJSTARS II; establishes NJ HonorScholars Program.,no include pattern matched
2016-A2986,2016,A2986,"Renames ""county vocational school districts"" as ""county career academies.""",no include pattern matched
2016-A3686,2016,A3686,Establishes new crime of strict liability vehicular homicide; renames existing vehicular homicide as reckless vehicular homicide; designated as Ralph and David's Law.,no include pattern matched
2016-A3742,2016,A3742,"Makes various revisions to ""Uniform Fraudulent Transfer Act""; renames act to ""Uniform Voidable Transactions Act.""",no include pattern matched
2016-S991,2016,S991,Revises and renames NJSTARS; repeals NJSTARS II; establishes NJ HonorScholars Program.,no include pattern matched
2016-S2245,2016,S2245,"Renames ""county vocational school districts"" as ""county career academies.""",no include pattern matched
2016-S2412,2016,S2412,"Revises ""New Jersey Transportation Trust Fund Authority Act""; establishes State Transportation Infrastructure Bank within NJ Environmental Infrastructure Trust; renames NJ Environmental Infrastructure Trust.",no include pattern matched
2016-S2423,2016,S2423,Establishes new crime of strict liability vehicular homicide; renames existing vehicular homicide as reckless vehicular homicide; designated as Ralph and David's Law.,no include pattern matched
2018-SCR119,2018,SCR119,Commemorates NJ Division of Fish and Wildlife for 125 years of fish and wildlife conservation.,no include pattern matched
2018-A645,2018,A645,Designates New Jersey Commuter Pass Credit Act; provides for temporary gross income tax credit for certain commuting passes.,no include pattern matched
2018-A2151,2018,A2151,"Directs State acquisition of Troy Meadows Natural Area, Morris County, for recreation and conservation purposes and designates it as natural area and wildlife sanctuary.",no include pattern matched
2018-A2806,2018,A2806,"Clarifies pretrial detention and pretrial release provisions in P.L.2014, c.31; designates P.L.2014, c.31 and this bill as the ""Restoring Judicial Discretion in Bail Setting Act.""",no include pattern matched
2018-A3638,2018,A3638,"Designates Dept. of Agriculture as sole agency to administer ""Seniors Farmers' Market Nutrition Program.""",no include pattern matched
2018-A3843,2018,A3843,"Designates drug court program as the ""special probation recovery court program"" in statutes.",no include pattern matched
2018-A4364,2018,A4364,Expands University Hospital board of directors membership from 11 to 13 members; designates University Hospital as rural hospital.*,no include pattern matched
2018-A5305,2018,A5305,Establishes Division of Advocacy for Developmentally Disabled within Office of Public Defender; designates public defender for developmentally disabled clients in criminal cases.,no include pattern matched
2018-A5977,2018,A5977,"Provides for establishment of Regional Health Hub Program as replacement to Accountable Care Organization Demonstration Project, and designates existing accountable care organizations and look-alike organizations as Regional Health Hubs.",no include pattern matched
2018-AJR27,2018,AJR27,"Designates days of recognition for Rosh Hashanah, Yom Kippur, and Passover.",no include pattern matched
2018-AJR89,2018,AJR89,Designates Lake Hopatcong Racing Association as New Jersey Governor's Cup Hydrofest Series.,no include pattern matched
2018-S896,2018,S896,"Directs State acquisition of Troy Meadows Natural Area, Morris County, for recreation and conservation purposes and designates it as natural area and wildlife sanctuary.",no include pattern matched
2018-S2701,2018,S2701,"Clarifies pretrial detention and pretrial release provisions in P.L.2014, c.31; designates P.L.2014, c.31 and this bill as the ""Restoring Judicial Discretion in Bail Setting Act.""",no include pattern matched
2018-S2706,2018,S2706,"Designates drug court program as the ""special probation recovery court program"" in statutes.",no include pattern matched
2018-S4127,2018,S4127,Designates 9-1-1 operators or dispatchers as 9-1-1 first responder dispatchers.,no include pattern matched
2018-S4282,2018,S4282,"Provides for establishment of Regional Health Hub Program as replacement to Accountable Care Organization Demonstration Project, and designates existing accountable care organizations and look-alike organizations as Regional Health Hubs.",no include pattern matched
2018-SJR66,2018,SJR66,Designates Lake Hopatcong Racing Association as New Jersey Governor's Cup Hydrofest Series.,no include pattern matched
2018-A2144,2018,A2144,"Renames ""Physician Orders for Life-Sustaining Treatment Act"" as ""Practitioner Orders for Life-Sustaining Treatment Act""; permits physician assistants to sign and modify POLST forms; requires continuing education concerning end-of-life care.*",no include pattern matched
2018-A2769,2018,A2769,Revises and renames NJSTARS; repeals NJSTARS II; establishes NJ HonorScholars Program.,no include pattern matched
2018-A2782,2018,A2782,"Makes various revisions to ""Uniform Fraudulent Transfer Act""; renames act to ""Uniform Voidable Transactions Act.""",no include pattern matched
2018-A3236,2018,A3236,Renames county corrections officers as county correctional police officers.,no include pattern matched
2018-A3647,2018,A3647,Makes Supplemental Nutrition Assistance Program Employment and Training Provider Demonstration Project permanent and renames program.,no include pattern matched
